sample_id,shannon,observed_otus,chao1,fb_ratio,dysbiotic,reasons
AG_S000,3.723492168263543,110,110.0,21.86561032863904,False,
AG_S001,4.057421271621175,111,111.0,1.4110957206386223,False,
AG_S002,3.9479004081306512,109,109.0,0.7493606138107386,False,
AG_S003,3.955694903719883,105,105.0,1.8939803855258692,True,observed_otus low (105.00 < 105.46)
AG_S004,4.056461721721286,110,116.0,1.3629203748917038,False,
AG_S005,4.045326413430535,111,112.0,2.046704722366371,False,
AG_S006,4.014312181085421,110,111.0,1.2674608889179801,False,
AG_S007,3.655346177170559,109,109.0,65.86211031175486,True,F/B ratio high (65.86 > 27.58)
AG_S008,4.006288571246067,107,108.0,2.0597407857432146,False,
AG_S009,4.006767534178888,112,113.0,1.4975342029907706,True,observed_otus high (112.00 > 111.87)
AG_S010,3.826170867315844,108,108.0,1.9789625823028747,False,
AG_S011,3.1562628905958867,106,106.0,0.08443768266805221,True,shannon low (3.16 < 3.62)
AG_S012,3.9762461238756766,111,112.0,1.1144136807817568,False,
AG_S013,4.088610031829458,110,110.0,1.0903714809262004,False,
AG_S014,3.7049866816858277,109,109.0,14.174377224199505,False,
AG_S015,3.979252303748348,108,114.0,1.206442376521114,False,
AG_S016,4.044508794810053,104,104.0,0.9970713273500198,True,observed_otus low (104.00 < 105.46)
AG_S017,4.153192826601571,110,110.0,1.9157669815564575,False,
AG_S018,4.001928397743933,107,107.0,1.4689317699196727,False,
AG_S019,4.135215750412273,111,117.0,0.9854183803185487,False,
AG_S020,4.018970314682833,109,109.33333333333333,1.4694641338247778,False,
AG_S021,3.658988429034086,108,111.0,38.22029988466089,True,F/B ratio high (38.22 > 27.58)
AG_S022,3.684074260577216,112,133.0,0.1558423820255381,True,observed_otus high (112.00 > 111.87) | chao1 high (133.00 > 120.22)
AG_S023,3.916489140325343,110,125.0,1.13748172630776,True,chao1 high (125.00 > 120.22)
AG_S024,4.083351893338802,108,108.0,1.8377907699962681,False,
AG_S025,3.913116499200073,108,109.0,1.1444331080219334,False,
AG_S026,3.9738693808559766,105,108.0,1.481900452488687,True,observed_otus low (105.00 < 105.46)
AG_S027,4.010448843001784,105,105.0,0.8471496141399024,True,observed_otus low (105.00 < 105.46)
AG_S028,3.765319621304414,109,112.0,21.566049013748223,False,
AG_S029,4.0755026417613855,108,118.0,2.037800687285227,False,
